date,instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
2026-01-23T01:00:00.000000,BTC-13FEB26-100000-C,13FEB26,2026-02-13,100000.0,call,185.2,167.7,6.08259,-37.26312,43.7124,0.00003,0.12116,35.75,36.17,36.24
2026-01-23T01:00:00.000000,BTC-13FEB26-100000-P,13FEB26,2026-02-13,100000.0,put,0.0,0.0,-52.15942,-37.26312,43.7124,0.00003,-0.87884,31.78,37.33,36.24
2026-01-23T01:00:00.000000,BTC-13FEB26-80000-C,13FEB26,2026-02-13,80000.0,call,0.0,0.0,39.86628,-44.95638,43.87813,0.00002,0.87818,41.27,46.37,43.56
2026-01-23T01:00:00.000000,BTC-13FEB26-80000-P,13FEB26,2026-02-13,80000.0,put,83.7,78.1,-6.72732,-44.95638,43.87813,0.00002,-0.12182,43.32,44.33,43.56
2026-01-23T01:00:00.000000,BTC-13FEB26-84000-C,13FEB26,2026-02-13,84000.0,call,0.0,0.0,36.42897,-61.38866,65.147,0.00003,0.77467,39.11,41.85,40.06
2026-01-23T01:00:00.000000,BTC-13FEB26-84000-P,13FEB26,2026-02-13,84000.0,put,6.3,6.3,-12.49432,-61.38866,65.147,0.00003,-0.22533,39.78,40.47,40.06
2026-01-23T01:00:00.000000,BTC-13FEB26-86000-C,13FEB26,2026-02-13,86000.0,call,0.0,0.0,33.40559,-68.766,75.43994,0.00004,0.70021,37.62,40.01,38.76
2026-01-23T01:00:00.000000,BTC-13FEB26-86000-P,13FEB26,2026-02-13,86000.0,put,13.0,13.0,-16.68254,-68.766,75.43994,0.00004,-0.29979,38.51,39.11,38.76
2026-01-23T01:00:00.000000,BTC-13FEB26-87000-C,13FEB26,2026-02-13,87000.0,call,0.0,0.0,31.56613,-71.72511,79.75079,0.00004,0.65747,37.31,39.0,38.24
2026-01-23T01:00:00.000000,BTC-13FEB26-87000-P,13FEB26,2026-02-13,87000.0,put,13.5,13.5,-19.10442,-71.72511,79.75079,0.00004,-0.34253,37.45,38.57,38.24
2026-01-23T01:00:00.000000,BTC-13FEB26-88000-C,13FEB26,2026-02-13,88000.0,call,9.4,9.4,29.55029,-73.82567,83.15999,0.00005,0.61187,36.98,38.06,37.74
2026-01-23T01:00:00.000000,BTC-13FEB26-88000-P,13FEB26,2026-02-13,88000.0,put,9.5,9.5,-21.70226,-73.82537,83.15966,0.00005,-0.38813,36.98,38.07,37.74
2026-01-23T01:00:00.000000,BTC-13FEB26-89000-C,13FEB26,2026-02-13,89000.0,call,3.1,3.0,27.38412,-74.98352,85.47212,0.00005,0.56395,36.62,37.67,37.3
2026-01-23T01:00:00.000000,BTC-13FEB26-89000-P,13FEB26,2026-02-13,89000.0,put,6.7,5.7,-24.45127,-74.98352,85.47212,0.00005,-0.43605,36.5,37.55,37.3
2026-01-23T01:00:00.000000,BTC-13FEB26-90000-C,13FEB26,2026-02-13,90000.0,call,0.1,0.1,25.10722,-74.98942,86.53016,0.00005,0.51444,36.21,37.25,36.85
2026-01-23T01:00:00.000000,BTC-13FEB26-90000-P,13FEB26,2026-02-13,90000.0,put,3.7,3.0,-27.31059,-74.98942,86.53016,0.00005,-0.48556,35.97,37.01,36.85
2026-01-23T01:00:00.000000,BTC-13FEB26-91000-C,13FEB26,2026-02-13,91000.0,call,0.5,0.4,22.75868,-73.97392,86.23797,0.00005,0.4642,35.74,36.78,36.47
2026-01-23T01:00:00.000000,BTC-13FEB26-91000-P,13FEB26,2026-02-13,91000.0,put,5.8,3.5,-30.24155,-73.97392,86.23797,0.00005,-0.5358,35.89,36.94,36.47
2026-01-23T01:00:00.000000,BTC-13FEB26-92000-C,13FEB26,2026-02-13,92000.0,call,0.1,0.1,20.38668,-71.8111,84.56997,0.00005,0.41406,35.73,36.8,36.1
2026-01-23T01:00:00.000000,BTC-13FEB26-92000-P,13FEB26,2026-02-13,92000.0,put,3.1,3.1,-33.19597,-71.8111,84.56997,0.00005,-0.58594,35.76,36.29,36.1
2026-01-23T01:00:00.000000,BTC-13FEB26-93000-C,13FEB26,2026-02-13,93000.0,call,2.1,2.1,18.09918,-69.32863,81.6851,0.00005,0.3664,35.14,36.24,36.09
2026-01-23T01:00:00.000000,BTC-13FEB26-93000-P,13FEB26,2026-02-13,93000.0,put,0.0,0.0,-36.06589,-69.32863,81.6851,0.00005,-0.6336,35.03,36.69,36.09
2026-01-23T01:00:00.000000,BTC-13FEB26-94000-C,13FEB26,2026-02-13,94000.0,call,323.9,322.9,15.89766,-65.80949,77.70083,0.00005,0.32083,35.05,36.21,36.01
2026-01-23T01:00:00.000000,BTC-13FEB26-94000-P,13FEB26,2026-02-13,94000.0,put,0.0,0.0,-38.84982,-65.80949,77.70083,0.00005,-0.67917,34.22,36.55,36.01
2026-01-23T01:00:00.000000,BTC-13FEB26-95000-C,13FEB26,2026-02-13,95000.0,call,15.7,15.7,13.67114,-60.33254,72.40173,0.00004,0.27486,34.99,35.61,35.43
2026-01-23T01:00:00.000000,BTC-13FEB26-95000-P,13FEB26,2026-02-13,95000.0,put,1.0,0.5,-41.65838,-60.33345,72.40283,0.00004,-0.72514,33.95,36.44,35.43
2026-01-23T01:00:00.000000,BTC-13FEB26-96000-C,13FEB26,2026-02-13,96000.0,call,160.1,156.1,11.77183,-55.84776,66.87155,0.00004,0.23612,35.0,35.68,35.51
2026-01-23T01:00:00.000000,BTC-13FEB26-96000-P,13FEB26,2026-02-13,96000.0,put,0.0,0.0,-44.1405,-55.84776,66.87155,0.00004,-0.76388,33.7,36.41,35.51
2026-01-23T01:00:00.000000,BTC-23JAN26-100000-C,23JAN26,2026-01-23,100000.0,call,0.0,1220.3,0.0,0.0,0.0,0.0,0.0,0.0,164.68,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-100000-P,23JAN26,2026-01-23,100000.0,put,0.3,42.3,-0.70776,-0.00006,0.0,0.0,-1.0,0.0,248.85,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-101000-C,23JAN26,2026-01-23,101000.0,call,0.0,200.2,0.0,0.0,0.0,0.0,0.0,0.0,177.88,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-101000-P,23JAN26,2026-01-23,101000.0,put,0.1,0.1,-0.71484,0.0,0.0,0.0,-1.0,0.0,260.07,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-102000-C,23JAN26,2026-01-23,102000.0,call,0.0,473.9,0.0,0.0,0.0,0.0,0.0,0.0,190.8,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-102000-P,23JAN26,2026-01-23,102000.0,put,0.0,0.5,-0.72192,0.0,0.0,0.0,-1.0,0.0,271.15,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-105000-C,23JAN26,2026-01-23,105000.0,call,0.0,539.7,0.0,0.0,0.0,0.0,0.0,0.0,228.36,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-105000-P,23JAN26,2026-01-23,105000.0,put,10.8,11.1,-0.74315,0.0,0.0,0.0,-1.0,0.0,324.31,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-106000-C,23JAN26,2026-01-23,106000.0,call,0.0,239.2,0.0,0.0,0.0,0.0,0.0,0.0,240.52,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-106000-P,23JAN26,2026-01-23,106000.0,put,0.1,0.3,-0.75023,0.0,0.0,0.0,-1.0,0.0,331.11,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-108000-C,23JAN26,2026-01-23,108000.0,call,0.0,718.2,0.0,0.0,0.0,0.0,0.0,0.0,264.18,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-108000-P,23JAN26,2026-01-23,108000.0,put,0.0,1.3,-0.76438,0.0,0.0,0.0,-1.0,0.0,372.13,72.85
2026-01-23T01:00:00.000000,BTC-23JAN26-80000-C,23JAN26,2026-01-23,80000.0,call,1.8,14.8,0.56621,-0.00286,0.00006,0.0,1.0,0.0,251.41,88.6
2026-01-23T01:00:00.000000,BTC-23JAN26-80000-P,23JAN26,2026-01-23,80000.0,put,62.6,607.3,0.0,-0.00022,0.00006,0.0,0.0,0.0,175.3,88.6
2026-01-23T01:00:00.000000,BTC-23JAN26-82000-C,23JAN26,2026-01-23,82000.0,call,0.0,1.2,0.58033,-0.23126,0.00528,0.0,0.99995,0.0,199.21,87.63
2026-01-23T01:00:00.000000,BTC-23JAN26-82000-P,23JAN26,2026-01-23,82000.0,put,255.8,702.0,-0.00003,-0.02645,0.00528,0.0,-0.00005,0.0,141.39,87.63
2026-01-23T01:00:00.000000,BTC-23JAN26-84000-C,23JAN26,2026-01-23,84000.0,call,0.0,7.0,0.59351,-5.17184,0.12271,0.0,0.99841,0.0,164.41,84.29
2026-01-23T01:00:00.000000,BTC-23JAN26-84000-P,23JAN26,2026-01-23,84000.0,put,96.3,287.1,-0.00102,-0.92772,0.12271,0.0,-0.00159,0.0,107.5,84.29
2026-01-23T01:00:00.000000,BTC-23JAN26-85000-C,23JAN26,2026-01-23,85000.0,call,0.0,3.9,0.59926,-9.91052,0.26064,0.00001,0.99635,0.0,144.87,76.05
2026-01-23T01:00:00.000000,BTC-23JAN26-85000-P,23JAN26,2026-01-23,85000.0,put,116.0,297.1,-0.00233,-2.06234,0.26064,0.00001,-0.00365,0.0,90.44,76.05
2026-01-23T01:00:00.000000,BTC-23JAN26-86000-C,23JAN26,2026-01-23,86000.0,call,0.0,234.1,0.59798,-37.32988,0.99221,0.00002,0.98328,0.0,123.84,75.25
2026-01-23T01:00:00.000000,BTC-23JAN26-86000-P,23JAN26,2026-01-23,86000.0,put,731.1,1719.4,-0.0107,-10.92333,0.99221,0.00002,-0.01672,0.0,81.27,75.25
2026-01-23T01:00:00.000000,BTC-23JAN26-87000-C,23JAN26,2026-01-23,87000.0,call,4.2,11.6,0.59621,-51.25485,1.64992,0.00005,0.96942,0.0,101.07,62.13
2026-01-23T01:00:00.000000,BTC-23JAN26-87000-P,23JAN26,2026-01-23,87000.0,put,1296.4,1117.4,-0.01954,-17.82712,1.64992,0.00005,-0.03058,55.71,67.03,62.13
2026-01-23T01:00:00.000000,BTC-23JAN26-88000-C,23JAN26,2026-01-23,88000.0,call,42.2,137.6,0.58371,-68.47309,2.89055,0.00011,0.93873,0.0,75.99,47.38
2026-01-23T01:00:00.000000,BTC-23JAN26-88000-P,23JAN26,2026-01-23,88000.0,put,902.0,890.5,-0.03912,-30.3263,2.89055,0.00011,-0.06127,46.25,49.29,47.38
